Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
ɔp	ɔ p	ɔ p	n c	U+0254 U+0020 U+0070	15	Achang (Longchuan)	phɔp⁵⁵, phɔp⁵⁵, tɔp³⁵, phɔp⁵⁵, ɔp⁵⁵
ɔm	ɔ m	ɔ m	n c	U+0254 U+0020 U+006d	15	Achang (Longchuan)	ɔm³¹, ɔm³¹, ɔm⁵⁵, ʐɔm³⁵, kʐɔm⁵⁵
əʔ	ə ʔ	ə ʔ	n c	U+0259 U+0020 U+0294	12	Achang (Longchuan)	məʔ³¹, pəʔ³¹, təʔ⁵⁵, məʔ³¹, pəʔ³¹
ɔk	ɔ k	ɔ k	n c	U+0254 U+0020 U+006b	12	Achang (Longchuan)	mɔk³⁵, pɔk³⁵, tsɔk⁵⁵, nɔk⁵⁵, tʂɔk⁵⁵
op	o p	o p	n c	U+006f U+0020 U+0070	10	Achang (Longchuan)	op⁵⁵, sop³⁵, ŋop³⁵, xʐop⁵⁵, m̥ʐop⁵⁵
əm	ə m	ə m	n c	U+0259 U+0020 U+006d	10	Achang (Longchuan)	təm³¹, təm³¹, khʐəm⁵¹, təm³⁵, kəm⁵⁵
ek	e k	e k	n c	U+0065 U+0020 U+006b	10	Achang (Longchuan)	ɕek³⁵, tɕhek³⁵, tshek⁵⁵, tek³⁵, tek⁵⁵
iʔ	i ʔ	i ʔ	n c	U+0069 U+0020 U+0294	9	Achang (Longchuan)	tsiʔ³¹, tsiʔ³¹, tsiʔ³¹, tshiʔ⁵⁵, thiʔ³¹
ok	o k	o k	n c	U+006f U+0020 U+006b	9	Achang (Longchuan)	kok⁵⁵, kok⁵⁵, kok⁵⁵, kok⁵⁵, kok⁵⁵
ət	ə t	ə t	n c	U+0259 U+0020 U+0074	8	Achang (Longchuan)	kət³⁵, kət³⁵, ət³⁵, khʐət³⁵, kət³⁵
up	u p	u p	n c	U+0075 U+0020 U+0070	6	Achang (Longchuan)	tup⁵⁵, sup⁵⁵, up⁵⁵, up⁵⁵, xup⁵⁵
on	o n	o n	n c	U+006f U+0020 U+006e	5	Achang (Longchuan)	ȵ̥on⁵⁵, ȵ̥on⁵⁵, tɕon⁵⁵, ȵ̥on⁵⁵, ȵ̥on³⁵
uk	u k	u k	n c	U+0075 U+0020 U+006b	5	Achang (Longchuan)	luk³¹, tɕuk⁵⁵, luk⁵⁵, luk³¹, muk³⁵
auʔ	au ʔ	au ʔ	n c	U+0061 U+0075 U+0020 U+0294	5	Achang (Longchuan)	mauʔ⁵¹, tɕhauʔ⁵⁵, tauʔ³¹, tauʔ⁵⁵, xʐauʔ³⁵
uaŋ	ua ŋ	ua ŋ	n c	U+0075 U+0061 U+0020 U+014b	4	Achang (Longchuan)	uaŋ³¹, uaŋ⁵⁵, uaŋ³¹, uaŋ³¹
aiʔ	ai ʔ	ai ʔ	n c	U+0061 U+0069 U+0020 U+0294	4	Achang (Longchuan)	maiʔ³¹, xaiʔ⁵⁵, kaiʔ³¹, phaiʔ³¹
ɔt	ɔ t	ɔ t	n c	U+0254 U+0020 U+0074	3	Achang (Longchuan)	tɔt⁵⁵, ȵɔt⁵⁵, ȵ̥ɔt⁵⁵
om	o m	o m	n c	U+006f U+0020 U+006d	3	Achang (Longchuan)	om³¹, nom³⁵, kom³⁵
im	i m	i m	n c	U+0069 U+0020 U+006d	3	Achang (Longchuan)	lim⁵⁵, tɕim⁵⁵, l̥im⁵⁵
ik	i k	i k	n c	U+0069 U+0020 U+006b	3	Achang (Longchuan)	phik⁵⁵, lik³¹, lik³¹
u an	ua n	ua n	n c	U+0075 U+0061 U+0020 U+006e	3	Achang (Longchuan)	uan³¹, uan³¹, uan³¹
ep	e p	e p	n c	U+0065 U+0020 U+0070	2	Achang (Longchuan)	thep³⁵, thep³⁵
ip	i p	i p	n c	U+0069 U+0020 U+0070	2	Achang (Longchuan)	ȵ̥ip³⁵, tɕhip³⁵
ŋˌon⁵⁵	ŋˌ o n ⁵⁵	ŋ o n ⁵⁵	i n c t	U+02cc U+006f U+0020 U+006e	1	Achang (Longchuan)	ŋˌon⁵⁵
ɿiʔ	ɿi ʔ	ɿi ʔ	n c	U+027f U+0069 U+0020 U+0294	1	Achang (Longchuan)	ɿiʔ³¹
ɔn	ɔ n	ɔ n	n c	U+0254 U+0020 U+006e	1	Achang (Longchuan)	m̥ɔn³¹
m̥ʑaŋ³¹mau³¹	m̥ ʑ a ŋ³¹ + m au³¹	m̥ ʑ a ŋ³¹ + m au³¹	i m n c t + i n t	U+0061 U+0061 U+0075 U+0020 U+014b	1	Achang (Longchuan)	m̥ʑaŋ³¹mau³¹
ăk	ă k	ă k	n c	U+0103 U+0020 U+006b	1	Achang (Longchuan)	kăk³⁵
pʐəŋ³¹tai⁵⁵	p ʐ ə ŋ ³¹ + t ai ⁵⁵	p ʐ ə ŋ ³¹ + t ai ⁵⁵	i m n c t + i n t	U+0259 U+0061 U+0069 U+0020 U+014b	1	Achang (Longchuan)	pʐəŋ³¹tai⁵⁵
uaiʔ	uai ʔ	uai ʔ	n c	U+0075 U+0061 U+0069 U+0020 U+0294	1	Achang (Longchuan)	uaiʔ³¹
xiŋ⁵¹mun³⁵	x i ŋ ⁵¹ + m u n ³⁵	x i ŋ ⁵¹ + m u n ³⁵	i n c t + i n c t	U+0069 U+0075 U+0020 U+014b U+006e	1	Achang (Longchuan)	xiŋ⁵¹mun³⁵
ɒn	ɒ n	ɒ n	n c	U+0252 U+0020 U+006e	1	Achang (Longchuan)	ȵ̥ɒn³⁵
uat	ua t	ua t	n c	U+0075 U+0061 U+0020 U+0074	1	Achang (Longchuan)	uat³⁵
uaʔ	ua ʔ	ua ʔ	n c	U+0075 U+0061 U+0020 U+0294	1	Achang (Longchuan)	uaʔ³¹
əp	ə p	ə p	n c	U+0259 U+0020 U+0070	1	Achang (Longchuan)	əp³⁵
ȵeʔ³¹ʑuʔ⁵⁵	ȵ e ʔ ³¹ + ʑ u ʔ ⁵⁵	ȵ e ʔ ³¹ + ʑ u ʔ ⁵⁵	i n c t + i n c t	U+0065 U+0075 U+0020 U+0294 U+0294	1	Achang (Longchuan)	ȵeʔ³¹ʑuʔ⁵⁵
pak³⁵mun³⁵	p a k ³⁵ + m u n ³⁵	p a k ³⁵ + m u n ³⁵	i n c t + i n c t	U+0061 U+0075 U+0020 U+006b U+006e	1	Achang (Longchuan)	pak³⁵mun³⁵
mun³¹mun³⁵	m u n ³¹ + m u n ³⁵	m u n ³¹ + m u n ³⁵	i n c t + i n c t	U+0075 U+0075 U+0020 U+006e U+006e	1	Achang (Longchuan)	mun³¹mun³⁵
ə̆n	ə̆ n	ə̆ n	n c	U+0259 U+0306 U+0020 U+006e	1	Achang (Longchuan)	sə̆n³¹
a	a	a	n	U+0061	162	Achang (Longchuan)	a³¹, xa⁵⁵, ka³¹, a³¹, tha³⁵
i	i	i	n	U+0069	126	Achang (Longchuan)	ni³¹, l̥i⁵⁵, l̥i³¹, ni³¹, mi⁵⁵
ɔ	ɔ	ɔ	n	U+0254	118	Achang (Longchuan)	mɔ³¹, mɔ³⁵, ʑɔ⁵⁵, ʑɔ⁵⁵, tɕhɔ³¹
au	au	au	n	U+0061 U+0075	107	Achang (Longchuan)	mau³¹, mau³¹, mau³¹, ʐau³¹, mau³¹
e	e	e	n	U+0065	77	Achang (Longchuan)	tshe³¹, le⁵⁵, se⁵⁵, phe⁵¹, the⁵⁵
u	u	u	n	U+0075	73	Achang (Longchuan)	tɕu³¹, u⁵⁵, tu³¹, u³¹, u³¹
