Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
th	th	tʰ	i	U+0074 U+0068	98	Atsi	thaŋ⁵¹
ʃ	ʃ	ʃ	i	U+0283	98	Atsi	ʃoʔ⁵⁵
ph	ph	pʰ	i	U+0070 U+0068	81	Atsi	phə̆⁵⁵
x	x	x	i	U+0078	79	Atsi	xi⁵⁵
tʃh	tʃh	tʃʰ	i	U+0074 U+0283 U+0068	55	Atsi	tʃhaŋ²¹
tsh	tsh	tsʰ	i	U+0074 U+0073 U+0068	45	Atsi	tsham⁵¹
ʒ	ʒ	ʒ	i	U+0292	32	Atsi	ʒa⁵¹
g	g	g	i	U+0067	2	Atsi	gon⁵⁵
χ	χ	χ	i	U+03c7	2	Atsi	χui²¹
tʃeŋ	tʃ e ŋ	tʃ e ŋ	i n c	U+0065 U+014b	1	Atsi	tʃheŋ
s i k	s i k	s i k	i n c	U+0069 U+006b	1	Atsi	sik
ʃv̩²¹	ʃ v̩ ²¹	ʃ v̩ ²¹	i n c	U+0076 U+0329	1	Atsi	ʃv̩²¹
